company,date,rating,pros,cons,type,id,year,date2
ActionAid,"May 30, 2018",2,"Far reaching work, very smart and passionate colleagues, excellent opportunities for growth and cross department work. Fantastic place to work at lower levels.","Senior management is very conservative and atmosphere at top is highly toxic. I worked in a senior role and my whole team clashed with management on numerous occasions, following which the ENTIRE team was let go.",Charities,88,2018,2018-05-30
ActionAid,"Jun 8, 2018",4,changes the world for the better,not much resources to work with,Charities,89,2018,2018-06-08
ActionAid,"Jul 9, 2018",3,"Team player, focussed, committed,","diversification, too much space, sometime too much extra work load",Charities,90,2018,2018-07-09
ActionAid,"Oct 1, 2018",4,"There is room for change, and so possibility for initiative, all the time.",The structure of the organisation at the time was problematic.,Charities,91,2018,2018-10-01
ActionAid,"Dec 17, 2018",5,"+positive energy
+helpful colleagues
+great values
+completely transparent
+everyone has an open door
+unbelievable policies","-understaffed
-not clear directions from managers",Charities,92,2018,2018-12-17
ActionAid,"Dec 19, 2018",5,"Transparency 
Friendly staff 
Open door policy
Relaxed and productive atmosphere 
Flexibility
Free coffee!!
Lots of holidays",A lot of junk food around,Charities,93,2018,2018-12-19
ActionAid,"Feb 17, 2019",1,The brand and the ethos,"Please note that this review is about ActionAid International NOT ActionAid UK.
Senior management full of big egos and lacking strategic vision or direction
Some members of Senior Management employed cos of who they are, not cos they are good managers or cos they understand the work of their departments
Senior management hopelessly naive and unsophisticated in their political analysis - it's like working in student...",Charities,94,2019,2019-02-17
ActionAid,"Apr 5, 2019",3,"Algumas pessoas da equipe e o trabalho realizado na ponta pelas organizações parceiras que, em sua maioria, fazem um importante e valoroso trabalho. Salário e benefícios muito interessantes.","Grande parte da equipe que carrega vícios de gestões infindáveis. O retrabalho gerado, em sua maioria, por picuinhas internas. Jogos de poder desnecessários. Diversas áreas com líderes incompetentes para o cargo.",Charities,95,2019,2019-04-05
ActionAid,"Apr 17, 2019",5,It is accommodative and helps individual growth,Never experienced any. It was the best ever,Charities,96,2019,2019-04-17
ActionAid,"May 19, 2019",3,"Good org culture, salary is not bad","HR mgmt is bad, cannot see the career path",Charities,97,2019,2019-05-19
ActionAid,"Jun 15, 2019",3,"Flexibility, fair pay compared to other organizations in the same field.
Access to good resources, capacity building and development opportunities.",Lack of clear HR policies,Charities,98,2019,2019-06-15
Age UK,"Feb 16, 2017",4,Great organisation with some great systems and processes,Finances were tight which curtailed ambition,Charities,133,2017,2017-02-16
Age UK,"Feb 19, 2017",4,"Great management, flexible hours, good ethos",None I could find. All round great place to work,Charities,134,2017,2017-02-19
Age UK,"Feb 19, 2017",2,Can move up - if  you're in the right team,"Internal politics and in fighting is rife. 
No performance related pay and high performance is left unrecognised
Do not look after staff
Directors have too much say",Charities,135,2017,2017-02-19
Age UK,"Apr 3, 2017",4,Giving back to the community and committed volunteers. It helps build a CV and they train their volunteers. It depends on where you are but my experience was positive.,More structure in volunteering would have helped but the support was there and if there had been issues I would have known whom to contact for help.,Charities,136,2017,2017-04-03
Age UK,"May 21, 2017",4,"Busy, fun and good training given.",could'nt progress in the company,Charities,137,2017,2017-05-21
Age UK,"Jul 15, 2017",4,Age UK England strives to lead the market. In my experience they are quite forward thinking and push to shorten the gap between charity shops and the rest of the high street.,Since it is a charity money is tight.,Charities,138,2017,2017-07-15
Age UK,"Jul 17, 2017",5,"Flexible working hours, friendly environment",Some physical work is included,Charities,139,2017,2017-07-17
Age UK,"Aug 3, 2017",4,"Good communication, excellent managers. rates of pay reasonable",sometimes customers can be rude,Charities,140,2017,2017-08-03
Age UK,"Aug 20, 2017",5,"Friendly environment, working for a good cause.",Can sometimes be stressful due to the nature of the work.,Charities,141,2017,2017-08-20
Age UK,"Aug 25, 2017",4,Kind people and nice environment,Volunteering isn't great for work but good experience,Charities,142,2017,2017-08-25
Age UK,"Oct 1, 2017",5,You can work towards supporting those who need help.,Business was slow and was not so skills based.,Charities,143,2017,2017-10-01
Age UK,"Oct 18, 2017",5,managers are very helpful and encourage you to work at your own pace,everything has to be entered manually on the till which can be hard but you'll get used to it,Charities,144,2017,2017-10-18
Age UK,"Nov 3, 2017",2,"Friendly staff 
Opportunities for training","Internal politics
Poor management / support
No possibility to advance career",Charities,145,2017,2017-11-03
Age UK,"Nov 4, 2017",1,Some caring staff lower down the rungs and in middle management,"A charity which doesn't like female employees to have children or grandchildren. 
Age UK Kendal Cumbria
Refuses to allow staff to drop to part-time hours and firmly refuses flexible working hours to women to balance family life.
Losing good staff due to the above of not allowing p/t or flexi hours.
Bombastic and unpleasant chief officer.
Extreme hierarchy re: senior management.
Very low paid for skilled positions...",Charities,146,2017,2017-11-04
Age UK,"Nov 27, 2017",5,"Pleasant work environment, good cause",Not the most organised with admin,Charities,147,2017,2017-11-27
Age UK,"Dec 11, 2017",1,You get a free lunch,"Bullied, mistreated, theft from within",Charities,148,2017,2017-12-11
Age UK,"Feb 12, 2018",1,"None, worse career choice ever",They have now had a major computer data leak loosing all the personal data of employees. These include bank details and personal info.  Bland apology letter with belated offer to pay for extra security register. Surprisingly in the same building! They returned a cheque with no letter or apology.,Charities,149,2018,2018-02-12
Age UK,"Feb 15, 2018",3,Great people working for the organisation,Restructuring the heart out of the charity,Charities,150,2018,2018-02-15
Age UK,"Feb 28, 2018",4,good staff to work with,some insecurities around funding some of the services staff work within,Charities,151,2018,2018-02-28
Age UK,"Mar 6, 2018",3,I worked as a home service assistant and I really enjoyed it.  Customers were very friendly and I had a great relationship with all of them,"Badly organised. zero hours,  minimum wage paid and  no company sick pay",Charities,152,2018,2018-03-06
Age UK,"Mar 23, 2018",2,"Some lovely hard working people. A charity with some honourable intentions. Good mix of fundraising and commercial revenue streams. Great campaigning team. Fairly innovative e.g. The Wireless, plus new fundraising events","No longer a con, for Tom Wright has become the Guide Dogs problem. Arrogant man with a huge ego. Into cronyism, lack of warmth or empathy. On two occasions couldn't even say thank you to me for holding the door open for him.",Charities,153,2018,2018-03-23
Age UK,"May 31, 2018",1,Perfect location which is an added value,"Poor salaries, working conditions need to be better",Charities,154,2018,2018-05-31
Age UK,"Jun 29, 2018",5,Lovely kind caring environment,It's me mostly who washes the pots after our tea break. Don't mind really.,Charities,155,2018,2018-06-29
Age UK,"Jul 13, 2018",4,very kind colleagues to new employees.,Limited budget to improve their services,Charities,156,2018,2018-07-13
Age UK,"Jul 27, 2018",4,Team is friendly and supportive,"extremely poor communication and work environment conditions (office, equipment)",Charities,157,2018,2018-07-27
Age UK,"Aug 15, 2018",4,"In my experience not many came into the shop whilst I was there so it was never outrageously busy. If you feel liker you would like this kind of environment, then you should for sure apply for a job or apply to be a volunteer as volunteers are always needed and are useful to have in store to help out. There was only myself and the store manager some days, so we developed a good relationship. The work was easy enough and...",Can sometimes be boring because it's not very busy.,Charities,158,2018,2018-08-15
Age UK,"Aug 26, 2018",4,"V good new woman chief executive who is focused on charity’s mission
Pretty flexible working conditions in most depts - v open to job share, good package for carers etc
Good time to be working for an older people’s charity - lots going on
V dominant in the age sector so lots of opportunities",Like many charities funding is never completely secure so projects can be subject to change,Charities,159,2018,2018-08-26
Age UK,"Sep 16, 2018",4,Reliable and friendly service,The pay isn’t great,Charities,160,2018,2018-09-16
Age UK,"Oct 5, 2018",1,Location. Dedicated staff on the ground.,"Racist, bullying. The most unprofessional third sector management I have ever worked with. Egotistical, hierarchical lack of communication. Elevating white men to positions of seniority with no transparacey.  No understanding of basic business development management. Lack of strategic direction.",Charities,161,2018,2018-10-05
Age UK,"Oct 7, 2018",2,Loads of satisfaction but you lose that after 1-2 years,Work till you bleed but no one notices,Charities,162,2018,2018-10-07
Age UK,"Oct 19, 2018",3,"The charity is on the whole dedicated to helping older people, which makes it a motivating place to work. There are also social opportunities, and lots of internal jobs.","I found that sometimes you ended up being managed by someone who wanted to help older people but really disliked, or was not interested in, people management.",Charities,163,2018,2018-10-19
Age UK,"Oct 23, 2018",5,"Flexible 
Nice management 
Work life balance","Rates of pay
Charge too much to elderly",Charities,164,2018,2018-10-23
Age UK,"Nov 17, 2018",5,Great company to work for,Not a great pension,Charities,165,2018,2018-11-17
Age UK,"Dec 5, 2018",2,Colleagues are pleasant to work with and environment makes you feel you do genuinely help people in need.,"Management can be predatory in the sense that you will watch your colleagues each in turn be put under intense stressful scrutiny, until they have a breakdown or quit. It will happen to you too.",Charities,166,2018,2018-12-05
Age UK,"Jan 7, 2019",1,The charity ethos on a whole.,"Rude managers, judgemental and blunt when things don't go their way. Don't recommend at all. Readvertised the job I was given, no word from them beforehand and was through no fault of my own!",Charities,167,2019,2019-01-07
Age UK,"Jan 30, 2019",4,A very good company to work for that is accommodating and helpful.,Severe cut backs which affects the service and staff morale.,Charities,168,2019,2019-01-30
Age UK,"Jan 31, 2019",2,It is a nice and quiet place to work in if you just finished university.  Good to build up office experience for your CV.,"If you are a more experienced person, but not at Manager level, don't expect to grow  inside the company. There aren't many chances to develop inside even though they give you the impression that there are.
Salary is low, you can get paid a lot more for the same job but at a different company/organisation (even for Managers).
Don't expect a salary raise or any other benefits, their excuse is always the same 'we are...",Charities,169,2019,2019-01-31
Age UK,"Feb 15, 2019",4,"Was giving the opportunity to learn from a great manager, who taught me everything from working on the till to choosing the things that would sell and things that wouldn’t make it to the shop floor.","It’s a struggle for me to point out any cons, the only 1 I’ve got is that it was a struggle to get them to pay my bus fares, but they started paying them, then I was poorly.",Charities,170,2019,2019-02-15
Age UK,"Feb 28, 2019",4,Brilliant company to work for in regards to staff support and ensuring a good work life balance. Good salary and hours on offer,"Due to reducing network, lots of redundancy’s so not sure how safe our jobs are. Could do more to instil confidence in the stability of the company.",Charities,171,2019,2019-02-28
Age UK,"Mar 12, 2019",5,Supportive organisation with people at the heart of what they do,"Being a charity, we need to be very careful of managing costs to ensure we are directing our resources appropriately to our cause",Charities,172,2019,2019-03-12
Age UK,"Mar 16, 2019",1,Cafe in London base office.,Poor pay. Saw loads of Bosses bully staff. No promotion options. V Depressing work environment. Nothing gets completed at age UK. Took other job in agency to exit this bonkers place.,Charities,173,2019,2019-03-16
Age UK,"Mar 19, 2019",4,"Good development opportunities, plenty of autonomy and trust in staff to do their job with good support from management when required.","It's a charity so staff are limited making it quite stressful at times as there is a requirement to pick up a lot of work with sometimes limited resources, however my team work very well together and help each other out when we have capacity.",Charities,174,2019,2019-03-19
Age UK,"Mar 21, 2019",5,"Good benefits
Good opportunities to develop and progress
Good selection of training courses and work shops available 
Flexible working where possible",The need of services from older people is increasing which is reflected in the number of calls we take therefore there is a higher demand on staff and time.,Charities,175,2019,2019-03-21
Age UK,"Mar 28, 2019",5,"Great company, nice environment","Pay rate, lack of back up",Charities,176,2019,2019-03-28
Age UK,"Apr 2, 2019",4,"You put the hours and hard work in, and there are senior management that will recognise that and help you achieve everything you want to.  I am supported in my role even when I am struggling with my health which makes things much easier to handle.  I recommend Age UK to work for 100%!","It is a charity so the money isn't the best, but there are a lot of other benefits and rewards given which make the work and life balance much easier to achieve.",Charities,177,2019,2019-04-02
Age UK,"Apr 2, 2019",4,"They are a good employer, who provide an excellent employee benefits package.",Age UK need to  promote  its employer benefits more  internally.,Charities,178,2019,2019-04-02
Age UK,"Apr 2, 2019",5,"Lots of training opportunities, really lovely colleagues, and a genuine commitment to working with older people to make late life better. Career development options including stepping up and taking on additional responsibilities. Quality is taken seriously, and impressive thought is given by colleagues as to how they improve and develop their work and this is generally  recognized and appreciated by managers","As with most large organisation some of the internal procurement processes can be clunky, I.T. basics are a bit inconsistent, e.g. slow systems.",Charities,179,2019,2019-04-02
Age UK,"Apr 10, 2019",5,Very friendly and helpful staff,Would have liked paid work,Charities,180,2019,2019-04-10
Age UK,"Apr 23, 2019",5,"Hard work really pays off and you are recognised as both a team and individual for this.

Working with diverse and interesting colleagues, who all share a passion for the charity.

Great work life balance

Lots of extra benefits available to employees like walking, book and running clubs, monthly carers group,  mentor program etc

Geeat internal training from online courses, manager and wellbeing support.","We are a charity and money is tight often applying pressure on a stretched workforce.

Like any organisation there are internal IT and procurement procedures to complete but these are often very time consuming and without much instruction.

IT system is often slow and IT support do not always communicate in the most effective way.

Internal communication (intranet) could be more interactive and informative easier...",Charities,181,2019,2019-04-23
Age UK,"Apr 29, 2019",5,Age UK is a great place to work.  It is unusual to have the opportunity to complete work but also to give something back to society,There are no downsides really,Charities,182,2019,2019-04-29
Age UK,"May 15, 2019",5,Great colleagues who are incredibly dedicated and were very welcoming. Particularly the developmental opportunities and support here are very good.,There are no downsides that come to mind,Charities,183,2019,2019-05-15
Age UK,"May 17, 2019",5,"Wonderful place to work, surrounded by talented passionate colleagues, who all want to achieve the same goal. Proud to be finding and encouraging others to join us.",None that I have found,Charities,184,2019,2019-05-17
Age UK,"May 20, 2019",3,"Flexible working, team culture, development","6 month probation, no sick pay within 6 month probation",Charities,185,2019,2019-05-20
Age UK,"May 30, 2019",5,Gained a lot of skills,The working place is very small,Charities,186,2019,2019-05-30
Age UK,"Jun 3, 2019",5,Helping in admin to update day to day rountine of the client and their need,Good environment good people good team work,Charities,187,2019,2019-06-03
Age UK,"Jun 11, 2019",5,"- Supportive and empowering Executive team
- Flexible working patterns
- Value based recruitment 
- Well led
- Open and transparent
- Excellent managers in place
- Culture of kindness",Sometimes felt unstable due to sector,Charities,188,2019,2019-06-11
Age UK,"Jun 11, 2019",3,"friendly workplace, supportive manager, nice collagues and always planty of work to do","luck of funding, luck of progression opportunities",Charities,189,2019,2019-06-11
Age UK,"Jul 2, 2019",3,"enjoy meeting new people, and keeps up skills",end up buying the 'bargins',Charities,190,2019,2019-07-02
Age UK,"Jul 4, 2019",2,Great charity taking care of older folk,Senior Management have a reputation (well earned) for bullying and undermining staff.,Charities,191,2019,2019-07-04
Alzheimer's Research UK,"Aug 9, 2017",5,Friendly and a fun place to work.,"Not in Cambridge, poor transport links",Charities,192,2017,2017-08-09
Alzheimer's Research UK,"Mar 7, 2019",5,"Great team atmosphere, excellent team leaders","Not a great experience when handling staff concerns on a specific matter, but overall no other concerns",Charities,193,2019,2019-03-07
Alzheimer's Research UK,"Jun 12, 2019",5,"Great people, fantastic cause and a great environment and work space",Can get a little warm in the summer months,Charities,194,2019,2019-06-12
Alzheimer's Research UK,"Jun 14, 2019",5,"Flexible work
positive and empowering culture 
FUN!
Rewarding 
You're part of finding the cure for dementia","Hard work
You will be expected to work unsociable hours
You need to be resiliant",Charities,195,2019,2019-06-14
Alzheimer's Research UK,"Jun 17, 2019",4,"Granta park is beautiful place to work. Staff are friendly, supportive and hardworking. Exciting and fast paced work load. It's great to work for a company that will one day make a real difference to people affected by something so terrible.","Internal office politics can be similar to high school popularity contests, toxic back chat and gossip are common place. Oppertunities to develop and progress can sometimes ignore the hard working and committed indivduals, giving preference to those who shout the loudest.",Charities,196,2019,2019-06-17
Alzheimer's Research UK,"Jun 18, 2019",5,"Great benefits and flexible working, holiday allowance and working environment. Great people and always feel valued and listened to and was made to feel welcome from the moment I started!","there isnt anything I would consider a con, i really enjoy working here",Charities,197,2019,2019-06-18
Alzheimer's Research UK,"Jun 19, 2019",5,"Everyone is so friendly and welcoming. Flexible working hours, good holiday allowance and a positive culture.","Granta Park is beautiful, however can be difficult to get to if you do not have a car",Charities,198,2019,2019-06-19
Alzheimer's Research UK,"Jun 19, 2019",5,An extremely ambitious organisation that invests in employees. ARUK is an inspiring organisation to work at with a wealth of knowledge to learn from.  Opportunities for personal growth and development are there if you work for them.,I am yet to find a con to working here.,Charities,199,2019,2019-06-19
Alzheimer's Research UK,"Jun 19, 2019",5,"- Flexible Working Hours
- Closed for Christmas Period
- Lots of social events both in and outside work
- Cometitive salary
- Opportunity for furthered learning, with IOF courses etc.
- Great work/life balance
- Very friendly and fun office environment
- Free tea and coffees onsite
- Based on a beautiful science park with lake, restaraunts, cricket pitch etc.","- Although parking is free, spaces near the office are limited",Charities,200,2019,2019-06-19
Alzheimer's Research UK,"Jun 23, 2019",5,"I've worked at Alzheimer's Research UK for around 8 years and have progressed through the organisation, always with new projects and opportunities. It's a very friendly and supportive environment with a sociable culture, as well as being professionally demanding and providing fantastic opportunities to develop and try new things. The Board and Exec Team is forward-thinking and open to ideas and innovation and it's great...","The office is set in a really nice science park with picturesque landscape but mainly accessible by car, shuttle bus or long bike ride making flexible transport or travel into London in the middle of the day more difficult.",Charities,201,2019,2019-06-23
Alzheimer's Research UK,"Jun 24, 2019",4,"Amazing charity, great workplace - would recommend","Like many workplaces, office politics is quite prominent throughout the organisation",Charities,202,2019,2019-06-24
Alzheimer's Research UK,"Jun 24, 2019",5,"•	Regular public transport routes from central Cambridge
•	Strong sense of community in the office
•	Forwarding thinking organisation that is open to change
•	Senior managers and directors take the time to get to know you
•	Fast growing organisation with more people joining than leaving
•	Innovation is encouraged and supported by managers
•	Values and ethos that sincerely resonate with you",Parking is very limited and often takes 10-15 to park then walk to the office,Charities,203,2019,2019-06-24
Alzheimer's Research UK,"Jun 28, 2019",5,"ARUK is an amazing place to work.   Our Leadership Attributes are demonstrated across all levels and underpin the organisational culture.   There is a high level of integrity and you feel trusted and empowered to take ownership and responsibility within your role.   There are great opportunities for personal development and a high level of engagement, where your views and opinions are actively listened to.    An incredibly...","The parking nearest to the office can be limited.  There is however plenty of parking on Granta Park, which can be a 10 minute walk away, and gives you a good excuse to grab a coffee and enjoy the exercise.",Charities,204,2019,2019-06-28
Alzheimer's Research UK,"Jul 1, 2019",5,"Friendly colleagues
Open and honest culture
Faced paced organisation
Empowerment and Autonomy in role
Flexible working
Working for a thoroughly worthwhile cause
Growing organisation",Agile approach leading to changing priorities  can be difficult to manage,Charities,205,2019,2019-07-01
